District,Year-Month,Total_Precipitation_mm,Mean_Temperature_C
Kilinochchi[1],2019-07,13.60,29.87
Kilinochchi[1],2019-08,26.20,29.03
Kilinochchi[1],2019-09,61.90,28.69
Kilinochchi[1],2019-10,287.70,26.59
Kilinochchi[1],2019-11,122.60,26.76
Kilinochchi[1],2019-12,223.70,25.85
Kilinochchi[1],2020-01,22.40,25.85
Kilinochchi[1],2020-02,16.90,26.35
Kilinochchi[1],2020-03,5.50,27.26
Kilinochchi[1],2020-04,38.50,29.17
Kilinochchi[1],2020-05,62.60,29.81
Kilinochchi[1],2020-06,29.50,29.94
Kilinochchi[1],2020-07,65.70,29.00
Kilinochchi[1],2020-08,12.30,29.39
Kilinochchi[1],2020-09,60.60,28.63
Kilinochchi[1],2020-10,21.90,29.03
Kilinochchi[1],2020-11,254.90,26.69
Kilinochchi[1],2020-12,469.60,25.35
Kilinochchi[1],2021-01,532.60,25.33
Kilinochchi[1],2021-02,30.70,25.26
Kilinochchi[1],2021-03,16.90,27.20
Kilinochchi[1],2021-04,67.30,28.58
Kilinochchi[1],2021-05,67.90,28.79
Kilinochchi[1],2021-06,31.90,29.24
Kilinochchi[1],2021-07,15.10,29.45
Kilinochchi[1],2021-08,34.80,29.03
Kilinochchi[1],2021-09,51.00,29.08
Kilinochchi[1],2021-10,278.80,26.99
Kilinochchi[1],2021-11,531.90,25.70
Kilinochchi[1],2021-12,76.40,25.75
Kilinochchi[1],2022-01,61.40,25.35
Kilinochchi[1],2022-02,69.40,25.46
Kilinochchi[1],2022-03,25.60,27.28
Kilinochchi[1],2022-04,128.80,27.55
Kilinochchi[1],2022-05,10.60,29.30
Kilinochchi[1],2022-06,26.70,29.28
Kilinochchi[1],2022-07,31.10,29.11
Kilinochchi[1],2022-08,78.00,28.40
Kilinochchi[1],2022-09,34.20,28.24
Kilinochchi[1],2022-10,177.90,26.81
Kilinochchi[1],2022-11,217.20,25.78
Kilinochchi[1],2022-12,274.90,25.40
Kilinochchi[1],2023-01,97.70,24.81
Kilinochchi[1],2023-02,161.50,25.19
Kilinochchi[1],2023-03,42.10,27.21
Kilinochchi[1],2023-04,79.70,28.76
Kilinochchi[1],2023-05,74.20,28.90
Kilinochchi[1],2023-06,37.70,30.06
Kilinochchi[1],2023-07,17.20,30.05
Kilinochchi[1],2023-08,29.70,30.18
Kilinochchi[1],2023-09,36.60,29.32
Kilinochchi[1],2023-10,168.20,27.49
Kilinochchi[1],2023-11,527.40,25.96
Kilinochchi[1],2023-12,305.60,25.92
Kilinochchi[1],2024-01,69.60,25.89
Kilinochchi[1],2024-02,11.20,27.29
Kilinochchi[1],2024-03,9.80,28.15
Kilinochchi[1],2024-04,33.50,30.58
Kilinochchi[1],2024-05,170.10,29.49
Kilinochchi[1],2024-06,31.90,28.60
Mannar,2010-01,111.40,25.64
Mannar,2010-02,0.80,26.62
Mannar,2010-03,10.60,28.64
Mannar,2010-04,91.70,29.36
Mannar,2010-05,69.40,29.19
Mannar,2010-06,33.80,28.74
Mannar,2010-07,27.70,28.17
Mannar,2010-08,64.20,27.68
Mannar,2010-09,100.10,27.32
Mannar,2010-10,164.80,27.20
Mannar,2010-11,276.50,26.03
Mannar,2010-12,429.00,25.05
Mannar,2011-01,257.00,24.65
Mannar,2011-02,180.30,25.33
Mannar,2011-03,19.30,27.20
Mannar,2011-04,203.20,27.68
Mannar,2011-05,15.50,28.59
Mannar,2011-06,5.40,28.60
Mannar,2011-07,57.40,28.01
Mannar,2011-08,47.20,27.80
Mannar,2011-09,30.50,28.16
Mannar,2011-10,192.00,27.35
Mannar,2011-11,205.90,26.01
Mannar,2011-12,86.60,25.64
Mannar,2012-01,12.60,25.39
Mannar,2012-02,17.30,26.65
Mannar,2012-03,25.50,28.20
Mannar,2012-04,68.20,28.52
Mannar,2012-05,3.50,29.12
Mannar,2012-06,14.50,28.49
Mannar,2012-07,17.40,28.49
Mannar,2012-08,26.40,28.06
Mannar,2012-09,31.40,28.30
Mannar,2012-10,381.90,26.82
Mannar,2012-11,119.40,26.26
Mannar,2012-12,122.30,25.68
Mannar,2013-01,160.50,25.39
Mannar,2013-02,45.80,26.16
Mannar,2013-03,59.10,27.48
Mannar,2013-04,22.10,29.41
Mannar,2013-05,35.20,29.08
Mannar,2013-06,27.30,28.08
Mannar,2013-07,11.10,27.89
Mannar,2013-08,25.20,27.77
Mannar,2013-09,58.90,27.61
Mannar,2013-10,78.80,27.65
Mannar,2013-11,93.00,26.60
Mannar,2013-12,89.80,25.59
Mannar,2014-01,184.90,24.96
Mannar,2014-02,3.80,26.34
Mannar,2014-03,13.70,28.39
Mannar,2014-04,73.40,28.94
Mannar,2014-05,108.80,28.58
Mannar,2014-06,9.00,29.16
Mannar,2014-07,5.60,28.64
Mannar,2014-08,47.30,27.99
Mannar,2014-09,118.50,27.88
Mannar,2014-10,246.70,26.85
Mannar,2014-11,387.30,25.86
Mannar,2014-12,282.60,25.20
Mannar,2015-01,6.50,25.50
Mannar,2015-02,39.40,25.80
Mannar,2015-03,40.10,27.52
Mannar,2015-04,113.30,28.19
Mannar,2015-05,172.00,28.23
Mannar,2015-06,33.70,28.67
Mannar,2015-07,20.00,28.51
Mannar,2015-08,45.20,28.30
Mannar,2015-09,88.20,27.96
Mannar,2015-10,254.50,27.08
Mannar,2015-11,358.60,26.18
Mannar,2015-12,175.30,26.08
Mannar,2016-01,15.80,26.07
Mannar,2016-02,11.00,27.19
Mannar,2016-03,9.80,28.85
Mannar,2016-04,33.40,29.90
Mannar,2016-05,271.90,28.82
Mannar,2016-06,43.00,28.55
Mannar,2016-07,30.60,28.23
Mannar,2016-08,19.50,28.34
Mannar,2016-09,4.40,27.91
Mannar,2016-10,53.40,27.89
Mannar,2016-11,155.70,26.43
Mannar,2016-12,68.90,25.94
Mannar,2017-01,110.20,25.61
Mannar,2017-02,10.60,25.99
Mannar,2017-03,54.10,28.12
Mannar,2017-04,19.50,30.06
Mannar,2017-05,19.00,29.85
Mannar,2017-06,16.40,29.09
Mannar,2017-07,7.90,29.27
Mannar,2017-08,25.40,28.67
Mannar,2017-09,67.60,28.14
Mannar,2017-10,129.20,27.87
Mannar,2017-11,322.00,26.26
Mannar,2017-12,59.40,25.84
Mannar,2018-01,36.10,25.39
Mannar,2018-02,24.00,26.32
Mannar,2018-03,36.10,28.15
Mannar,2018-04,79.10,29.13
Mannar,2018-05,93.70,28.58
Mannar,2018-06,17.80,28.59
Mannar,2018-07,9.70,28.36
Mannar,2018-08,12.90,27.82
Mannar,2018-09,45.60,27.90
Mannar,2018-10,280.70,26.52
Mannar,2018-11,287.70,25.88
Mannar,2018-12,94.40,25.81
Mannar,2019-01,15.50,25.47
Mannar,2019-02,234.60,26.73
Mannar,2019-03,7.80,28.51
Mannar,2019-04,37.90,29.48
Mannar,2019-05,6.30,30.11
Mannar,2019-06,9.10,29.70
Mannar,2019-07,12.80,29.04
Mannar,2019-08,33.90,28.55
Mannar,2019-09,60.80,28.07
Mannar,2019-10,225.50,26.62
Mannar,2019-11,99.40,26.84
Mannar,2019-12,118.40,26.07
Mannar,2020-01,15.70,26.66
Mannar,2020-02,8.30,27.64
Mannar,2020-03,16.30,28.64
Mannar,2020-04,46.20,29.67
Mannar,2020-05,52.60,29.97
Mannar,2020-06,36.90,29.47
Mannar,2020-07,35.00,28.66
Mannar,2020-08,10.50,28.41
Mannar,2020-09,47.60,28.11
Mannar,2020-10,24.20,28.53
Mannar,2020-11,172.70,26.81
Mannar,2020-12,540.80,25.49
Mannar,2021-01,197.40,25.43
Mannar,2021-02,18.10,25.89
Mannar,2021-03,44.30,28.04
Mannar,2021-04,38.50,29.11
Mannar,2021-05,71.00,28.87
Mannar,2021-06,35.80,28.91
Mannar,2021-07,14.90,28.83
Mannar,2021-08,24.40,28.35
Mannar,2021-09,27.60,28.54
Mannar,2021-10,249.70,27.12
Mannar,2021-11,500.50,26.04
Mannar,2021-12,42.70,26.03
Mannar,2022-01,29.80,26.22
Mannar,2022-02,54.70,26.08
Mannar,2022-03,18.80,28.17
Mannar,2022-04,134.00,27.81
Mannar,2022-05,31.30,29.37
Mannar,2022-06,15.20,28.82
Mannar,2022-07,24.20,28.61
Mannar,2022-08,51.90,27.91
Mannar,2022-09,29.00,27.80
Mannar,2022-10,164.10,27.05
Mannar,2022-11,153.30,26.11
Mannar,2022-12,211.00,25.97
Mannar,2023-01,62.50,25.47
Mannar,2023-02,111.10,25.95
Mannar,2023-03,42.70,28.25
Mannar,2023-04,68.60,29.16
Mannar,2023-05,113.30,29.23
Mannar,2023-06,23.90,29.54
Mannar,2023-07,19.20,28.84
Mannar,2023-08,2.70,28.95
Mannar,2023-09,35.70,28.56
Mannar,2023-10,141.90,27.61
Mannar,2023-11,340.80,26.19
Mannar,2023-12,195.50,26.42
Mannar,2024-01,71.70,26.33
Mannar,2024-02,13.40,28.14
Mannar,2024-03,14.70,28.94
Mannar,2024-04,31.20,30.33
Mannar,2024-05,196.80,29.39
Mannar,2024-06,26.50,28.54
Vavuniya,2010-01,145.20,24.59
Vavuniya,2010-02,2.30,25.97
Vavuniya,2010-03,34.50,28.19
Vavuniya,2010-04,106.10,28.85
Vavuniya,2010-05,76.00,28.36
Vavuniya,2010-06,27.50,28.75
Vavuniya,2010-07,59.70,28.10
Vavuniya,2010-08,94.00,27.76
Vavuniya,2010-09,179.10,27.18
Vavuniya,2010-10,164.80,26.69
Vavuniya,2010-11,297.40,25.05
Vavuniya,2010-12,526.80,23.96
